CustomerID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason
7714-YXSMB,1,United States,California,Irvine,92612,"33.643095, -117.810896",33.643095,-117.810896,Female,No,No,No,26,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),100.5,2599.95,No,0,50,2921,
8387-UGUSU,1,United States,California,Irvine,92614,"33.680302, -117.833296",33.680302,-117.833296,Female,No,Yes,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.05,284.3,No,0,59,3591,
1080-BWSYE,1,United States,California,Irvine,92618,"33.667145, -117.732135",33.667145,-117.732135,Male,Yes,Yes,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.65,1740.8,No,0,36,6469,
1194-HVAIF,1,United States,California,Capistrano Beach,92624,"33.458754, -117.665104",33.458754,-117.665104,Female,No,Yes,No,27,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),95.0,2462.55,No,0,75,4235,
1767-TGTKO,1,United States,California,Dana Point,92629,"33.477923, -117.705314",33.477923,-117.705314,Female,No,Yes,Yes,8,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.45,411.75,No,0,41,4651,
8439-LTUGF,1,United States,California,Lake Forest,92630,"33.644849, -117.684254",33.644849,-117.684254,Male,No,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.0,198.6,No,0,53,4802,
8805-JNRAZ,1,United States,California,Huntington Beach,92646,"33.666301, -117.969501",33.666301,-117.969501,Female,No,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.2,103.7,No,0,75,2342,
6418-HNFED,1,United States,California,Huntington Beach,92648,"33.679659, -118.016195",33.679659,-118.016195,Male,No,Yes,No,51,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),83.25,4089.45,No,0,62,5340,
0206-OYVOC,1,United States,California,Huntington Beach,92649,"33.721917, -118.043237",33.721917,-118.043237,Female,No,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.25,864.2,No,0,77,5596,
7291-CDTMJ,1,United States,California,Laguna Beach,92651,"33.570023, -117.773669",33.570023,-117.773669,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.65,19.65,No,0,80,3075,
7128-GGCNO,1,United States,California,Laguna Hills,92653,"33.606899, -117.717854",33.606899,-117.717854,Male,No,No,No,46,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),72.8,3249.4,No,0,66,2642,
0237-YFUTL,1,United States,California,Midway City,92655,"33.744439, -117.98588",33.744439,-117.98588,Female,No,Yes,No,50,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),109.65,5405.8,No,0,21,4676,
7691-KGKGP,1,United States,California,Aliso Viejo,92656,"33.571259, -117.731917",33.571259,-117.731917,Male,No,Yes,Yes,53,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),65.0,3363.8,No,0,30,5534,
6710-HSJRD,1,United States,California,Newport Coast,92657,"33.603282, -117.821841",33.603282,-117.821841,Male,No,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,114.1,7132.15,No,0,64,5239,
3675-EQOZA,1,United States,California,Newport Beach,92660,"33.634626, -117.874882",33.634626,-117.874882,Male,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.65,93.55,No,0,60,5597,
0840-DCNZE,1,United States,California,Newport Beach,92661,"33.601309, -117.902304",33.601309,-117.902304,Male,No,No,No,47,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),86.95,4138.9,No,0,57,5631,
1732-FEKLD,1,United States,California,Newport Beach,92662,"33.606336, -117.893042",33.606336,-117.893042,Female,No,No,No,54,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),94.75,5121.75,No,0,50,5665,
9862-KJTYK,1,United States,California,Newport Beach,92663,"33.62251, -117.927024",33.62251,-117.927024,Male,No,No,Yes,19,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),25.35,566.1,No,0,68,3072,
0479-HMSWA,1,United States,California,San Clemente,92672,"33.429488, -117.609432",33.429488,-117.609432,Female,No,No,Yes,26,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,105.45,2715.3,No,0,62,5980,
